Id,Description
KAY,Epäurheilijamainen käytös
EST,Estäminen
VET,Hiuksista kypärästä tai kasvosuojuksesta vetäminen
HUI,Huitominen
JAL,Jalkapyyhkäisy
T-PR,Joukkueen toimihenkilön tulee jäälle
JR,Joukkuerangaistus
KAM,Kampitus
KEI,Keihästäminen
SUL,Kiekon sulkeminen käteen
KIE,Kieltäytyminen aloittamisesta
KII,Kiinnipitäminen
KOR,Korkea maila
KOU,Koukkaaminen
KNP,Kyynärpäätaklaus
LTK,Laitataklaus
LEI,Leikkaaminen
JR,Liian monta pelaajaa jäällä
LOU,Loukkaantuneen pelaajan kieltäytyminen poistumasta jäältä
LYL,Lyöntilaukaus (harraste- ja seniorisarjat)
PEN,Lähteminen rangaistusaitiosta
EST-M,Maalivahdin estäminen
MUU-M,Maalivahdin muu rangaistus
MPL,Mailan päällä lyöminen
HEI,Mailan tai esineen heittäminen
HEI,Mailan tai esineen heittäminen pelaajapenkiltä
M-KII,Mailasta kiinnipitäminen
MTK,Myöhästynyt taklaus
VAR,Pelaaminen ilman kypärää
VII,Pelin viivyttäminen - hylätty valmentajan haasto
VII,Pelin viivyttäminen - kiekko katsomoon
VII,Pelin viivyttäminen - kiekon peittäminen
VII,Pelin viivyttäminen - kiekon sulkeminen
VII,Pelin viivyttäminen - liian myöhäinen aloituskentällinen
VII,Pelin viivyttäminen - maalin juhlinta
VII,Pelin viivyttäminen - maalin siirtäminen
VII,Pelin viivyttäminen - pelaajien vaihto pitkän jälkeen
VII,Pelin viivyttäminen - rike aloitustapahtumassa
VII,Pelin viivyttäminen - varusteiden korjaus
PIL,Pilkkaaminen
POI,Poikittainen maila
POL,Polvitaklaus
POT,Potkaiseminen
PUR,Pureminen
PUS,Päällä puskeminen
PTK,Pään tai niskan alueelle kohdistuva taklaus
MUU,Rangaistuksen syytä ei löydy sääntökirjasta
VAR,Rikkoutunut maila
RYN,Ryntäys
STK,Selästä taklaaminen
SOP,Sopimaton käytös tuomaristoa kohtaan
SUK,Sukeltaminen
SYL,Sylkeminen
RAN,Sääntöjen vastainen kulku rangaistusaitoon
VAR,Sääntöjen vastainen maila tai varuste
TAK,Sääntöjen vastainen taklaus (Naiset ja juniorit)
TAP,Tappelu
VAR,Vaarallinen varuste
VAR,Varusteiden aiheeton mittauspyyntö
VKV,Väkivaltaisuus
KAT,Yhteenotto katsojan kanssa